"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"14/06/2024","13.162,23","13.188,79","13.213,08","13.159,02","","-0,20%"
"13/06/2024","13.188,79","13.162,89","13.211,97","13.158,00","","0,20%"
"12/06/2024","13.162,89","13.186,16","13.209,32","13.154,49","","-0,18%"
"11/06/2024","13.186,16","13.142,58","13.209,85","13.142,58","","0,21%"
"10/06/2024","13.159,07","13.197,04","13.231,91","13.155,83","","-0,29%"
"07/06/2024","13.197,04","13.243,90","13.277,84","13.190,79","","-0,35%"
"06/06/2024","13.243,90","13.011,49","13.245,17","13.011,49","","1,46%"
"05/06/2024","13.053,28","13.238,72","13.247,64","13.053,28","","-1,40%"
"04/06/2024","13.238,72","13.314,09","13.345,50","13.236,05","","-0,57%"
"03/06/2024","13.314,09","13.310,40","13.368,51","13.310,40","","0,03%"
"31/05/2024","13.310,40","13.313,64","13.338,80","13.291,30","","-0,02%"
"30/05/2024","13.313,64","13.347,62","13.383,51","13.313,64","","-0,25%"
"29/05/2024","13.347,62","13.374,25","13.411,53","13.330,24","","-0,20%"
"28/05/2024","13.374,25","13.326,59","13.418,73","13.323,96","","0,36%"
"27/05/2024","13.326,59","13.369,39","13.386,26","13.318,47","","-0,33%"
"24/05/2024","13.370,70","13.375,53","13.382,64","13.314,22","","-0,04%"
"23/05/2024","13.375,53","13.391,68","13.478,67","13.373,88","","-0,12%"
"22/05/2024","13.392,04","13.426,85","13.463,31","13.380,02","","-0,26%"
"21/05/2024","13.426,85","13.444,34","13.495,27","13.406,36","","-0,13%"
"20/05/2024","13.444,34","13.426,13","13.495,18","13.405,53","","0,14%"
"17/05/2024","13.426,13","13.411,39","13.427,56","13.389,76","","0,11%"
"16/05/2024","13.411,39","13.421,40","13.455,44","13.399,26","","-0,07%"
"15/05/2024","13.421,40","13.501,46","13.521,37","13.421,40","","-0,59%"
"14/05/2024","13.501,46","13.541,33","13.572,97","13.490,42","","-0,29%"
"13/05/2024","13.541,33","13.527,01","13.589,67","13.526,28","","0,11%"
"10/05/2024","13.527,01","13.478,23","13.555,54","13.476,07","","0,36%"
"09/05/2024","13.478,23","13.414,20","13.490,24","13.396,93","","0,44%"
"08/05/2024","13.418,67","13.375,47","13.429,43","13.375,47","","0,32%"
"07/05/2024","13.375,47","13.362,48","13.382,47","13.322,88","","0,10%"
"06/05/2024","13.362,48","13.405,10","13.415,63","13.279,73","","-0,31%"
"03/05/2024","13.403,47","13.322,85","13.432,00","13.322,85","","0,61%"
"02/05/2024","13.322,85","13.319,36","13.387,01","13.296,93","","0,03%"
"30/04/2024","13.319,36","13.373,90","13.373,90","13.306,52","","-0,41%"
"29/04/2024","13.373,90","13.354,97","13.422,67","13.337,33","","0,14%"
"26/04/2024","13.354,97","13.346,81","13.361,90","13.279,77","","0,06%"
"25/04/2024","13.346,81","13.281,24","13.347,19","13.280,70","","0,49%"
"24/04/2024","13.281,24","13.246,66","13.312,37","13.244,13","","0,26%"
"23/04/2024","13.246,66","13.302,28","13.302,28","13.147,47","","-0,42%"
"22/04/2024","13.302,28","13.452,88","13.479,65","13.302,28","","-1,12%"
"19/04/2024","13.453,35","13.455,65","13.508,68","13.439,14","","-0,02%"
"18/04/2024","13.455,65","13.384,83","13.455,65","13.371,77","","0,53%"
"17/04/2024","13.384,83","13.362,33","13.433,28","13.245,64","","0,17%"
"16/04/2024","13.362,33","13.372,71","13.434,44","13.336,27","","-0,08%"
"15/04/2024","13.372,71","13.341,29","13.400,28","13.304,39","","0,24%"
"09/04/2024","13.341,29","13.219,95","13.355,73","13.212,77","","0,92%"
"08/04/2024","13.219,95","13.118,75","13.220,08","13.104,01","","0,77%"
"05/04/2024","13.118,75","13.106,43","13.131,86","13.059,82","","0,09%"
"04/04/2024","13.106,43","13.095,43","13.106,43","13.017,12","","0,08%"
"03/04/2024","13.095,43","13.053,12","13.116,23","13.050,29","","0,32%"
"02/04/2024","13.053,17","12.998,18","13.053,83","12.996,01","","0,35%"
"01/04/2024","13.007,12","13.009,23","13.058,01","12.998,94","","-0,02%"
"29/03/2024","13.009,23","12.986,94","13.030,62","12.958,12","","0,17%"
"28/03/2024","12.986,94","12.981,98","13.053,74","12.969,80","","0,04%"
"27/03/2024","12.981,98","12.938,50","12.984,29","12.926,67","","0,34%"
"26/03/2024","12.938,50","12.963,23","12.993,85","12.925,95","","-0,19%"
"25/03/2024","12.963,23","12.979,11","12.987,34","12.950,29","","-0,12%"
"22/03/2024","12.979,11","12.977,56","13.000,83","12.946,71","","0,01%"
"21/03/2024","12.977,56","12.961,87","13.005,38","12.953,79","","0,12%"
"20/03/2024","12.961,87","13.034,58","13.054,15","12.961,87","","-0,56%"
"19/03/2024","13.034,58","13.085,63","13.085,63","12.978,94","","-0,39%"
"18/03/2024","13.085,63","13.063,68","13.139,28","13.032,46","","0,17%"
"15/03/2024","13.063,68","12.968,77","13.063,68","12.963,76","","0,73%"
"14/03/2024","12.968,77","12.886,74","12.968,77","12.886,74","","0,64%"
"13/03/2024","12.886,74","12.846,52","12.891,82","12.840,91","","0,31%"
"12/03/2024","12.846,52","12.852,10","12.885,96","12.836,00","","-0,04%"
"11/03/2024","12.852,10","12.907,46","12.910,84","12.837,13","","-0,43%"
"08/03/2024","12.907,46","12.875,49","12.945,48","12.856,28","","0,25%"
"07/03/2024","12.875,49","12.935,98","12.963,46","12.874,39","","-0,47%"
"06/03/2024","12.935,98","13.002,44","13.004,40","12.913,67","","-0,51%"
"05/03/2024","13.002,44","13.001,70","13.043,53","12.919,14","","0,01%"
"04/03/2024","13.001,70","13.010,62","13.040,77","12.974,19","","-0,07%"
"01/03/2024","13.010,62","13.031,16","13.083,11","13.010,62","","-0,16%"
"29/02/2024","13.031,16","13.134,04","13.146,42","13.031,16","","-0,78%"
"28/02/2024","13.134,04","13.098,80","13.147,96","13.048,93","","0,27%"
"27/02/2024","13.098,80","13.117,08","13.125,18","13.083,28","","-0,14%"
"26/02/2024","13.117,08","13.083,17","13.119,93","13.004,21","","0,26%"
"23/02/2024","13.083,17","12.986,77","13.088,90","12.986,47","","0,74%"
"22/02/2024","12.986,77","12.961,44","13.003,39","12.960,43","","0,20%"
"21/02/2024","12.961,44","12.885,93","12.997,29","12.880,34","","0,59%"
"20/02/2024","12.885,93","12.920,11","12.936,88","12.831,34","","-0,26%"
"19/02/2024","12.920,11","12.871,28","13.005,52","12.871,28","","0,38%"
"16/02/2024","12.871,28","12.727,64","12.878,36","12.688,20","","1,13%"
"15/02/2024","12.727,64","12.753,91","12.759,78","12.704,00","","-0,21%"
"14/02/2024","12.753,91","12.698,28","12.761,11","12.698,28","","0,44%"
"13/02/2024","12.698,28","12.688,22","12.744,70","12.681,85","","0,08%"
"12/02/2024","12.688,22","12.659,81","12.716,79","12.659,81","","0,22%"
"09/02/2024","12.659,81","12.625,89","12.660,87","12.602,21","","0,27%"
"08/02/2024","12.625,89","12.549,83","12.640,08","12.544,84","","0,61%"
"07/02/2024","12.549,83","12.529,24","12.613,63","12.498,36","","0,16%"
"06/02/2024","12.529,24","12.442,57","12.529,24","12.435,28","","0,70%"
"05/02/2024","12.442,57","12.493,40","12.521,92","12.420,38","","-0,41%"
"02/02/2024","12.493,40","12.483,92","12.535,45","12.455,05","","0,08%"
"01/02/2024","12.483,92","12.465,28","12.513,32","12.445,57","","0,15%"
"31/01/2024","12.465,28","12.445,47","12.498,05","12.438,85","","0,16%"
"30/01/2024","12.445,47","12.458,14","12.568,81","12.404,31","","-0,10%"
"29/01/2024","12.458,14","12.630,78","12.711,33","12.448,97","","-1,37%"
"26/01/2024","12.630,78","12.684,76","12.715,90","12.619,20","","-0,43%"
"25/01/2024","12.684,76","12.706,90","12.714,28","12.673,14","","-0,17%"
"24/01/2024","12.706,90","12.747,30","12.770,70","12.702,89","","-0,32%"
"23/01/2024","12.747,30","12.720,69","12.783,75","12.707,14","","0,21%"
"22/01/2024","12.720,69","12.685,03","12.771,90","12.683,25","","0,28%"
"19/01/2024","12.685,03","12.627,32","12.698,75","12.623,51","","0,30%"
"18/01/2024","12.646,67","12.594,94","12.647,88","12.577,97","","0,41%"
"17/01/2024","12.594,94","12.548,37","12.603,95","12.508,23","","0,37%"
"16/01/2024","12.548,37","12.452,98","12.554,70","12.445,62","","0,77%"
"15/01/2024","12.452,98","12.501,67","12.531,46","12.445,47","","-0,39%"
"12/01/2024","12.501,67","12.480,21","12.513,59","12.474,10","","0,17%"
"10/01/2024","12.480,21","12.437,39","12.480,22","12.405,57","","0,34%"
"09/01/2024","12.437,39","12.382,02","12.437,88","12.339,16","","0,45%"
"08/01/2024","12.382,02","12.368,94","12.400,10","12.345,93","","0,11%"
"05/01/2024","12.368,94","12.280,03","12.380,75","12.260,17","","0,72%"
"04/01/2024","12.280,03","12.230,48","12.280,60","12.218,52","","0,41%"
"03/01/2024","12.230,48","12.141,70","12.230,55","12.129,30","","0,73%"
"02/01/2024","12.141,70","12.092,88","12.179,30","12.092,63","","0,40%"
"29/12/2023","12.092,88","12.046,61","12.136,22","12.045,95","","0,38%"
"28/12/2023","12.046,61","12.103,96","12.130,09","12.046,61","","-0,47%"
"27/12/2023","12.103,96","12.085,31","12.126,88","12.073,85","","0,15%"
"26/12/2023","12.085,31","12.147,19","12.181,26","12.085,31","","-0,51%"
"25/12/2023","12.147,19","12.182,10","12.220,48","12.147,19","","-0,29%"
"22/12/2023","12.182,10","12.182,82","12.245,08","12.181,58","","-0,01%"
"21/12/2023","12.182,82","12.246,01","12.265,63","12.182,82","","-0,52%"
"20/12/2023","12.246,01","12.211,46","12.273,00","12.204,50","","0,28%"
"19/12/2023","12.211,46","12.171,59","12.215,90","12.135,58","","0,33%"
"18/12/2023","12.171,59","12.126,34","12.176,88","12.119,78","","0,37%"
"15/12/2023","12.126,34","12.134,19","12.173,22","12.122,69","","-0,06%"
"14/12/2023","12.134,19","12.115,02","12.149,06","12.074,14","","0,16%"
"13/12/2023","12.115,02","11.995,29","12.155,25","11.989,70","","1,00%"
"12/12/2023","11.995,29","11.951,89","12.018,46","11.936,38","","0,36%"
"11/12/2023","11.952,37","11.885,32","11.952,37","11.863,48","","0,56%"
"08/12/2023","11.885,32","11.827,02","11.885,32","11.824,97","","0,49%"
"07/12/2023","11.827,02","11.757,60","11.827,02","11.757,60","","0,59%"
"06/12/2023","11.757,60","11.759,51","11.792,95","11.718,07","","-0,02%"
"05/12/2023","11.759,51","11.728,06","11.785,10","11.709,49","","0,27%"
"04/12/2023","11.728,06","11.748,19","11.769,43","11.702,27","","-0,17%"
"01/12/2023","11.748,19","11.781,56","11.818,46","11.731,93","","-0,28%"
"30/11/2023","11.781,56","11.784,33","11.825,18","11.754,07","","-0,02%"
"29/11/2023","11.784,33","11.775,17","11.828,51","11.759,89","","0,08%"
"28/11/2023","11.775,17","11.850,77","11.857,90","11.757,50","","-0,58%"
"27/11/2023","11.843,79","11.957,67","11.958,13","11.843,67","","-0,95%"
"24/11/2023","11.957,67","11.976,17","12.026,72","11.954,74","","-0,15%"
"23/11/2023","11.976,17","11.999,71","12.008,81","11.957,50","","-0,20%"
"22/11/2023","11.999,71","11.976,24","12.025,97","11.974,80","","0,20%"
"21/11/2023","11.976,24","11.979,47","12.000,67","11.944,18","","-0,03%"
"20/11/2023","11.979,47","11.947,56","11.981,46","11.916,97","","0,27%"
"17/11/2023","11.947,56","11.969,91","11.978,41","11.917,37","","-0,19%"
"16/11/2023","11.969,91","11.895,50","11.969,91","11.875,21","","0,63%"
"15/11/2023","11.895,50","11.973,74","11.973,74","11.874,55","","-0,65%"
"14/11/2023","11.973,74","11.971,71","11.982,92","11.900,52","","0,02%"
"13/11/2023","11.971,71","11.948,60","11.973,39","11.911,23","","0,19%"
"10/11/2023","11.948,60","11.946,92","11.950,37","11.884,44","","0,01%"
"09/11/2023","11.946,92","11.961,14","11.966,77","11.910,76","","-0,12%"
"08/11/2023","11.961,14","11.988,80","12.017,74","11.953,14","","-0,23%"
"07/11/2023","11.988,80","11.977,33","12.008,94","11.957,56","","0,10%"
"03/11/2023","11.977,33","12.007,23","12.012,86","11.943,99","","-0,25%"
"02/11/2023","12.007,23","12.029,74","12.029,74","11.927,45","","-0,19%"
"01/11/2023","12.029,74","12.021,64","12.032,26","11.918,43","","0,07%"
"31/10/2023","12.021,64","11.924,90","12.030,02","11.906,39","","0,81%"
"30/10/2023","11.924,90","11.987,77","12.023,34","11.898,30","","-0,52%"
"27/10/2023","11.987,77","12.035,24","12.035,24","11.987,59","","-0,39%"
"26/10/2023","12.035,24","12.141,63","12.172,09","12.034,98","","-0,88%"
"25/10/2023","12.141,63","12.211,87","12.215,25","12.137,51","","-0,58%"
"24/10/2023","12.211,87","12.243,53","12.243,54","12.197,47","","-0,26%"
"23/10/2023","12.243,53","12.236,22","12.243,53","12.145,01","","0,06%"
"20/10/2023","12.236,22","12.262,69","12.267,97","12.185,42","","-0,22%"
"19/10/2023","12.262,69","12.249,95","12.295,88","12.234,37","","0,10%"
"18/10/2023","12.249,95","12.136,49","12.283,52","12.131,16","","0,93%"
"17/10/2023","12.136,49","12.192,99","12.235,01","12.136,31","","-0,46%"
"16/10/2023","12.192,99","12.237,11","12.247,48","12.165,81","","-0,36%"
"13/10/2023","12.237,11","12.269,23","12.272,39","12.210,53","","-0,26%"
"12/10/2023","12.269,23","12.278,56","12.278,56","12.199,56","","-0,08%"
"11/10/2023","12.278,56","12.225,36","12.278,56","12.167,95","","0,44%"
"10/10/2023","12.225,36","12.229,44","12.252,99","12.183,17","","-0,03%"
"09/10/2023","12.229,44","12.294,36","12.305,77","12.194,59","","-0,53%"
"06/10/2023","12.294,36","12.252,30","12.552,70","12.252,30","","0,34%"
"05/10/2023","12.252,30","11.660,21","12.252,30","11.660,21","","5,08%"
"04/10/2023","11.660,21","11.715,45","11.721,58","11.621,20","","-0,47%"
"03/10/2023","11.715,45","11.789,09","11.854,75","11.705,17","","-0,62%"
"02/10/2023","11.789,09","11.865,32","11.886,54","11.785,95","","-0,64%"
"27/09/2023","11.865,32","11.853,84","11.875,39","11.772,93","","0,10%"
"26/09/2023","11.853,84","11.816,41","11.867,21","11.788,69","","0,32%"
"25/09/2023","11.816,41","11.778,13","11.816,41","11.717,12","","0,33%"
"22/09/2023","11.778,13","11.769,52","11.800,73","11.740,98","","0,07%"
"21/09/2023","11.769,52","11.772,24","11.859,31","11.763,17","","-0,02%"
"20/09/2023","11.772,24","11.799,28","11.857,04","11.771,40","","-0,23%"
"19/09/2023","11.799,28","11.807,52","11.855,29","11.754,60","","-0,07%"
"18/09/2023","11.807,52","11.768,83","11.818,34","11.752,77","","0,32%"
"15/09/2023","11.769,31","11.775,23","11.824,68","11.752,63","","-0,05%"
"14/09/2023","11.775,53","11.733,04","11.786,80","11.722,34","","0,35%"
"13/09/2023","11.734,78","11.727,34","11.797,31","11.704,49","","-0,02%"
"12/09/2023","11.736,88","11.725,83","11.822,68","11.725,83","","0,09%"
"11/09/2023","11.725,83","11.712,06","11.789,73","11.694,36","","0,11%"
"08/09/2023","11.712,37","11.752,38","11.792,74","11.707,52","","-0,34%"
"07/09/2023","11.752,38","11.745,08","11.765,22","11.737,41","","0,06%"
"06/09/2023","11.745,08","11.822,98","11.877,87","11.745,05","","-0,90%"
"05/09/2023","11.852,24","11.871,36","11.911,61","11.852,24","","-0,16%"
"04/09/2023","11.871,36","11.886,92","11.916,00","11.849,16","","-0,13%"
"01/09/2023","11.886,92","11.954,29","11.968,68","11.886,92","","-0,56%"
"31/08/2023","11.954,29","11.903,46","11.988,17","11.903,46","","0,43%"
"30/08/2023","11.903,46","11.899,92","11.938,75","11.869,76","","0,03%"
"29/08/2023","11.899,92","11.863,66","11.907,98","11.841,16","","0,31%"
"28/08/2023","11.863,66","11.897,37","11.921,23","11.857,91","","-0,29%"
"25/08/2023","11.898,62","11.876,75","11.902,98","11.833,85","","0,18%"
"24/08/2023","11.876,75","11.863,61","11.894,41","11.854,55","","0,11%"
"23/08/2023","11.863,61","11.887,79","11.892,01","11.855,18","","-0,24%"
"22/08/2023","11.891,60","11.969,75","11.988,29","11.889,60","","-0,67%"
"18/08/2023","11.971,99","11.988,62","12.011,51","11.966,53","","-0,14%"
"17/08/2023","11.988,62","12.011,59","12.011,59","11.965,89","","-0,19%"
"16/08/2023","12.011,59","12.021,95","12.022,03","11.978,72","","-0,09%"
"15/08/2023","12.021,95","12.016,87","12.047,23","12.005,21","","0,04%"
"11/08/2023","12.016,87","12.055,65","12.065,99","12.015,67","","-0,32%"
"10/08/2023","12.055,65","12.034,04","12.057,02","11.986,59","","0,18%"
"09/08/2023","12.034,04","12.074,06","12.091,20","12.034,04","","-0,33%"
"08/08/2023","12.074,06","12.083,53","12.085,69","12.019,56","","-0,08%"
"07/08/2023","12.083,53","12.106,05","12.176,00","12.079,44","","-0,19%"
"04/08/2023","12.106,05","12.142,00","12.206,66","12.105,90","","-0,30%"
"03/08/2023","12.142,00","12.203,87","12.224,23","12.140,41","","-0,51%"
"02/08/2023","12.203,87","12.131,19","12.231,76","12.119,86","","0,60%"
"01/08/2023","12.131,19","12.083,34","12.131,19","12.032,93","","0,40%"
"31/07/2023","12.083,34","12.058,66","12.083,74","12.043,54","","0,20%"
"28/07/2023","12.058,66","11.992,00","12.070,59","11.947,43","","0,54%"
"27/07/2023","11.993,58","11.832,89","11.997,16","11.828,79","","1,36%"
"26/07/2023","11.832,89","11.774,05","11.859,64","11.767,99","","0,50%"
"25/07/2023","11.774,05","11.753,68","11.774,10","11.700,24","","0,15%"
"24/07/2023","11.755,83","11.793,50","11.804,09","11.728,22","","-0,32%"
"21/07/2023","11.793,50","11.731,63","11.799,05","11.695,19","","0,49%"
"20/07/2023","11.735,54","11.684,77","11.735,54","11.683,75","","0,43%"
"18/07/2023","11.684,77","11.537,16","11.684,88","11.520,40","","1,28%"
"17/07/2023","11.537,16","11.546,96","11.564,86","11.504,19","","-0,08%"
"14/07/2023","11.546,96","11.488,31","11.548,68","11.464,68","","0,51%"
"13/07/2023","11.488,31","11.452,82","11.537,98","11.448,90","","-0,45%"
"12/07/2023","11.540,53","11.531,56","11.568,18","11.501,19","","0,07%"
"11/07/2023","11.532,99","11.544,73","11.554,29","11.509,24","","-0,12%"
"10/07/2023","11.546,59","11.575,81","11.620,52","11.546,59","","-0,25%"
"07/07/2023","11.575,81","11.621,72","11.624,46","11.526,53","","-0,40%"
"06/07/2023","11.621,72","11.616,59","11.652,35","11.596,51","","-0,48%"
"05/07/2023","11.677,95","11.599,83","11.681,39","11.596,97","","0,66%"
"04/07/2023","11.601,91","11.537,34","11.623,30","11.537,34","","0,50%"
"03/07/2023","11.544,61","11.494,06","11.580,27","11.488,74","","-0,30%"
"28/06/2023","11.579,76","11.542,87","11.646,37","11.529,24","","0,32%"
"27/06/2023","11.542,87","11.504,06","11.574,55","11.485,16","","0,34%"
"26/06/2023","11.504,06","11.537,23","11.614,63","11.483,60","","-0,29%"
"23/06/2023","11.537,23","11.474,39","11.677,18","11.474,39","","0,55%"
"22/06/2023","11.474,39","11.489,86","11.606,98","11.461,47","","-0,15%"
"21/06/2023","11.491,86","11.704,45","11.723,23","11.491,86","","-1,82%"
"20/06/2023","11.704,88","11.395,66","11.822,93","11.378,34","","2,63%"
"19/06/2023","11.404,49","11.446,81","11.476,65","11.376,68","","-0,42%"
"16/06/2023","11.452,87","11.385,36","11.462,51","11.384,02","","0,59%"
"15/06/2023","11.385,36","11.194,74","11.408,55","11.168,64","","1,69%"
"14/06/2023","11.195,69","11.056,72","11.195,83","11.056,72","","1,26%"
